VARSET,MODELID,NMODELS,NVAR,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10,XVAR11
1,1,20,1,tmb4m,N,N,N,N,N,N,N,N,N,N
2,21,20,2,tancrvm,tmb4m,N,N,N,N,N,N,N,N,N
3,41,20,3,slpcosaspm,tancrvm,tmb4m,N,N,N,N,N,N,N,N
4,61,4,4,slpcosaspm,tancrvm,tancrvsd,tmb4m,N,N,N,N,N,N,N
5,62,12,4,slpcosaspm,slpsinaspm,tancrvm,tmb4m,N,N,N,N,N,N,N
6,65,3,4,eevsqrd,tancrvm,tancrvsd,tmb4m,N,N,N,N,N,N,N
7,74,1,4,elevm,tancrvm,tancrvsd,tmb4m,N,N,N,N,N,N,N
8,81,1,5,elevm,slpcosaspm,tancrvm,tancrvsd,tmb4m,N,N,N,N,N,N
9,82,13,5,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,N,N,N,N,N,N
10,83,6,5,eevsqrd,slpcosaspm,tancrvm,tancrvsd,tmb4m,N,N,N,N,N,N
11,101,12,6,elevm,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,N,N,N,N,N
12,108,8,6,eevsqrd,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,N,N,N,N,N
13,121,6,7,eevsqrd,elevm,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,N,N,N,N
14,122,2,7,durm,slopem,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,N,N,N,N
15,123,3,7,durm,elevm,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,N,N,N,N
16,124,8,7,elevm,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,utmx,N,N,N,N
17,135,1,7,durm,slopem,slpcosaspm,tancrvm,tancrvsd,tmb4m,utmx,N,N,N,N
18,141,12,8,eevsqrd,elevm,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,utmx,N,N,N
19,143,7,8,durm,eevsqrd,slopem,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,N,N,N
20,154,1,8,durm,elevm,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,utmx,N,N,N
21,161,15,9,durm,elevm,slopem,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,utmx,N,N
22,162,4,9,eevsqrd,elevm,slopem,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,utmx,N,N
23,167,1,9,ctim,eevsqrd,elevm,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,utmx,N,N
24,181,11,10,durm,eevsqrd,elevm,slopem,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,utmx,N
25,183,9,10,ctim,eevsqrd,elevm,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,utmx,utmy,N
26,201,20,11,ctim,durm,eevsqrd,elevm,slopem,slpcosaspm,slpsinaspm,tancrvm,tancrvsd,tmb4m,utmx
