"VARSET","REFCLASS","PREDCLASS","CTAB"
1,0,0,37
1,0,1,13
1,1,0,24
1,1,1,25
2,0,0,18
2,0,1,32
2,1,0,5
2,1,1,44
3,0,0,32
3,0,1,18
3,1,0,16
3,1,1,33
4,0,0,37
4,0,1,13
4,1,0,17
4,1,1,32
5,0,0,18
5,0,1,32
5,1,0,35
5,1,1,14
6,0,0,37
6,0,1,13
6,1,0,20
6,1,1,29
7,0,0,35
7,0,1,15
7,1,0,18
7,1,1,31
8,0,0,40
8,0,1,10
8,1,0,25
8,1,1,24
9,0,0,35
9,0,1,15
9,1,0,14
9,1,1,35
10,0,0,32
10,0,1,18
10,1,0,12
10,1,1,37
11,0,0,35
11,0,1,15
11,1,0,15
11,1,1,34
12,0,0,36
12,0,1,14
12,1,0,16
12,1,1,33
13,0,0,35
13,0,1,15
13,1,0,21
13,1,1,28
14,0,0,34
14,0,1,16
14,1,0,18
14,1,1,31
15,0,0,37
15,0,1,13
15,1,0,20
15,1,1,29
16,0,0,40
16,0,1,10
16,1,0,19
16,1,1,30
17,0,0,34
17,0,1,16
17,1,0,14
17,1,1,35
18,0,0,33
18,0,1,17
18,1,0,15
18,1,1,34
19,0,0,36
19,0,1,14
19,1,0,18
19,1,1,31
20,0,0,38
20,0,1,12
20,1,0,21
20,1,1,28
21,0,0,32
21,0,1,18
21,1,0,15
21,1,1,34
22,0,0,32
22,0,1,18
22,1,0,18
22,1,1,31
23,0,0,35
23,0,1,15
23,1,0,15
23,1,1,34
24,0,0,37
24,0,1,13
24,1,0,12
24,1,1,37
25,0,0,36
25,0,1,14
25,1,0,15
25,1,1,34
26,0,0,35
26,0,1,15
26,1,0,10
26,1,1,39
27,0,0,38
27,0,1,12
27,1,0,19
27,1,1,30
28,0,0,37
28,0,1,13
28,1,0,14
28,1,1,35
29,0,0,38
29,0,1,12
29,1,0,10
29,1,1,39
30,0,0,36
30,0,1,14
30,1,0,14
30,1,1,35
31,0,0,35
31,0,1,15
31,1,0,13
31,1,1,36
32,0,0,38
32,0,1,12
32,1,0,13
32,1,1,36
33,0,0,35
33,0,1,15
33,1,0,12
33,1,1,37
34,0,0,26
34,0,1,24
34,1,0,22
34,1,1,27
35,0,0,40
35,0,1,10
35,1,0,14
35,1,1,35
36,0,0,36
36,0,1,14
36,1,0,16
36,1,1,33
37,0,0,37
37,0,1,13
37,1,0,15
37,1,1,34
38,0,0,36
38,0,1,14
38,1,0,15
38,1,1,34
39,0,0,37
39,0,1,13
39,1,0,16
39,1,1,33
40,0,0,41
40,0,1,9
40,1,0,18
40,1,1,31
41,0,0,38
41,0,1,12
41,1,0,13
41,1,1,36
42,0,0,37
42,0,1,13
42,1,0,11
42,1,1,38
43,0,0,40
43,0,1,10
43,1,0,13
43,1,1,36
44,0,0,38
44,0,1,12
44,1,0,12
44,1,1,37
45,0,0,39
45,0,1,11
45,1,0,17
45,1,1,32
46,0,0,40
46,0,1,10
46,1,0,13
46,1,1,36
47,0,0,38
47,0,1,12
47,1,0,14
47,1,1,35
48,0,0,38
48,0,1,12
48,1,0,15
48,1,1,34
49,0,0,35
49,0,1,15
49,1,0,13
49,1,1,36
50,0,0,37
50,0,1,13
50,1,0,15
50,1,1,34
51,0,0,35
51,0,1,15
51,1,0,11
51,1,1,38
52,0,0,26
52,0,1,24
52,1,0,23
52,1,1,26
53,0,0,33
53,0,1,17
53,1,0,9
53,1,1,40
54,0,0,35
54,0,1,15
54,1,0,10
54,1,1,39
55,0,0,19
55,0,1,31
55,1,0,26
55,1,1,23
56,0,0,39
56,0,1,11
56,1,0,10
56,1,1,39
57,0,0,40
57,0,1,10
57,1,0,15
57,1,1,34
58,0,0,28
58,0,1,22
58,1,0,27
58,1,1,22
