SAGESTR3,AVGP
0.00211807561112,0.010752688172
0.00231298039657,0.0215053763441
0.00302735767503,0.0322580645161
0.00501222432067,0.0430107526882
0.00654744330453,0.0537634408602
0.00967673795678,0.0645161290323
0.0116703772304,0.0752688172043
0.012280925876,0.0860215053763
0.0125232297417,0.0967741935484
0.0133223343186,0.10752688172
0.0138129711491,0.118279569892
0.0142940149444,0.129032258065
0.0145247086575,0.139784946237
0.0146712032863,0.150537634409
0.016115315175,0.161290322581
0.0165069126619,0.172043010753
0.0172233438138,0.182795698925
0.0175186454,0.193548387097
0.0175786486678,0.204301075269
0.0179656386942,0.215053763441
0.0194713775468,0.225806451613
0.0198857467912,0.236559139785
0.0207766249653,0.247311827957
0.0207879099966,0.258064516129
0.0207926916881,0.268817204301
0.0219222074704,0.279569892473
0.0229547693373,0.290322580645
0.0232414787074,0.301075268817
0.023285211077,0.311827956989
0.0254120895068,0.322580645161
0.0254716491793,0.333333333333
0.0256418640255,0.344086021505
0.025649462861,0.354838709677
0.0260502706724,0.365591397849
0.0264965286083,0.376344086022
0.0266409755071,0.387096774194
0.0269940106414,0.397849462366
0.0289820027556,0.408602150538
0.0289965051211,0.41935483871
0.0290648782193,0.430107526882
0.0291462546228,0.440860215054
0.0306012757672,0.451612903226
0.0306125346068,0.462365591398
0.0308056804667,0.47311827957
0.0326211007865,0.483870967742
0.0331379042231,0.494623655914
0.0331621359,0.505376344086
0.0336750429128,0.516129032258
0.0344916604943,0.52688172043
0.0346312313512,0.537634408602
0.0350176638986,0.548387096774
0.0355085148519,0.559139784946
0.0356661796038,0.569892473118
0.0357047125582,0.58064516129
0.0358698675007,0.591397849462
0.035923936711,0.602150537634
0.0359350645291,0.612903225806
0.0369733281442,0.623655913978
0.0370458519271,0.634408602151
0.0371368864146,0.645161290323
0.0372563768918,0.655913978495
0.0375673896354,0.666666666667
0.037759586665,0.677419354839
0.0377899717245,0.688172043011
0.0384682517072,0.698924731183
0.0388839883469,0.709677419355
0.0393378352551,0.720430107527
0.0397840720568,0.731182795699
0.0399525581046,0.741935483871
0.0404899508571,0.752688172043
0.0405883213222,0.763440860215
0.0406447100467,0.774193548387
0.042661167063,0.784946236559
0.0427014272505,0.795698924731
0.0427292960963,0.806451612903
0.0434535414794,0.817204301075
0.0452387783658,0.827956989247
0.0460029710757,0.838709677419
0.0461603088651,0.849462365591
0.0521088804952,0.860215053763
0.0528963858915,0.870967741935
0.0558572635813,0.881720430108
0.056113865558,0.89247311828
0.0562611968461,0.903225806452
0.0569615279439,0.913978494624
0.0579077693272,0.924731182796
0.0585296939068,0.935483870968
0.0596625625001,0.94623655914
0.060581540932,0.956989247312
0.0736645568586,0.967741935484
0.0750131469569,0.978494623656
0.103817827327,0.989247311828
0.197911287887,1.0
