VARSET,MODELID,NMODELS,NVAR,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10
1,1,10,1,RDDEND1,N,N,N,N,N,N,N,N,N
2,11,10,2,RDDEND1,SPDIASTR2,N,N,N,N,N,N,N,N
3,21,10,3,BLDADEND5,PCLDEND0,SPDIASTR2,N,N,N,N,N,N,N
4,31,4,4,BLDADEND5,PCLDEND0,SAGESTR3,SPDIASTR2,N,N,N,N,N,N
5,33,1,4,RDDEND1,SDIASTR2,T5_50MN,T5_50SD,N,N,N,N,N,N
6,34,2,4,SDENSAN,SDENSAND10,SPAGESTR3,SPDIASTR2,N,N,N,N,N,N
7,36,2,4,BLDADEND5,SDENSAND10,SDENSTR,SPAGESTR3,N,N,N,N,N,N
8,41,2,5,BLDADEND5,SAGESTR3,SDENSAND10,T5_50SD,T5_75MN,N,N,N,N,N
9,42,1,5,PCLDEND6,RDDEND1,SAGESAND0,SDENSTR,SDIASTRD8,N,N,N,N,N
10,43,1,5,PCLDEND0,RDDEND1,SDENSTR,SDIASTRD0,SPDIASTR2,N,N,N,N,N
11,44,2,5,BLDADEN,SDIASTRD7,SPDIASTR2,T10_850SD,T20_1300SD,N,N,N,N,N
12,45,2,5,BLDADEN,SDIASTRD7,SPDIASTR2,T5_50SD,T5_75MN,N,N,N,N,N
13,48,1,5,BLDADEND5,SDENSAN,SDENSAND10,SPAGESTR3,SPDIASTR2,N,N,N,N,N
14,49,1,5,RDDEND1,SDIASTRD7,SLOPSAND6,SPAGESAN1,SPDIASTR2,N,N,N,N,N
15,51,2,6,PCLDEND4,RDDEND1,SAGESAND0,SDENSAND10,SLOPSTR1,SPDIASTR2,N,N,N,N
16,52,1,6,BLDDEND2,PCLDEND0,PCLDEND4,RDDEND1,SPAGESTR3,SPDIASTR2,N,N,N,N
17,53,1,6,BLDDEND7,PCLDEND1,PCLDEND2,RDDEND1,SPAGESTR3,SPDIASTR2,N,N,N,N
18,54,1,6,BLDADEN,SDIASTRD7,SLOPSAND6,SPDIASTR2,T10_850SD,T20_1300SD,N,N,N,N
19,55,1,6,BLDADEN,SDENSAND10,SLOPSTR1,SPDIASTR2,T5_50MN,T5_50SD,N,N,N,N
20,56,1,6,RDDEND1,SDIASTRD4,SPAGESTR3,T20_1300SD,T20_1600SD,T20_1700SD,N,N,N,N
21,57,1,6,PCLDEND1,PCLDEND2,RDDEND0,RDDEND1,SPAGESTR3,SPDIASTR2,N,N,N,N
22,58,1,6,PCLDEND6,RDDEND1,SAGESAND0,SAGESAND5,SDIASTRD8,SLOPSTR1,N,N,N,N
23,60,1,6,RDDEND1,SDIASTRD7,SLOPSAND6,SPDIASTR2,T10_450MN,T10_450SD,N,N,N,N
24,61,1,7,BLDADEND5,PCLDEN,PCLDEND0,SPAGESTR3,SPDIASTR2,T10_850SD,T20_1300SD,N,N,N
25,62,1,7,PCLDEND0,RDDEND1,SDIASTRD4,SLOPSAND1,T10_850SD,T20_1300SD,T20_1800SD,N,N,N
26,63,2,7,BLDADEN,SDIASTRD7,SPDIASTR2,T20_1700SD,T20_1800SD,T5_50SD,T5_75MN,N,N,N
27,65,1,7,RDDEND1,SDIASTR2,SDIASTRD7,SPAGESAN1,SPAGESTR3,T10_250SD,T10_450SD,N,N,N
28,66,1,7,BLDADEND5,PCLDEN,PCLDEND0,SPAGESTR3,SPDIASTR2,T10_850SD,T20_1100SD,N,N,N
29,67,1,7,BLDADEND1,BLDADEND5,RDDEND2,SLOPSAND6,SPDIASTR2,T5_50MN,T5_50SD,N,N,N
30,68,1,7,BLDDEND2,PCLDEND0,PCLDEND4,RDDEND1,SDIASTR3,SPAGESTR3,SPDIASTR2,N,N,N
31,69,1,7,BLDADEN,SDIASTRD7,SLOPSAND6,SPAGESAN1,SPDIASTR2,T10_850SD,T20_1000SD,N,N,N
32,70,1,7,BLDADEN,SDIASTRD7,SLOPSAND6,SPAGESAN1,SPDIASTR2,T10_850SD,T10_950SD,N,N,N
33,71,1,8,BLDADEN,BLDADEND5,SDIASTRD7,SLOPSAN4,SLOPSAND6,SPDIASTR2,T5_50MN,T5_50SD,N,N
34,72,2,8,PCLDEN,PCLDEND0,SPAGESTR3,SPDIASTR2,T10_850SD,T20_1100SD,T20_1600SD,T20_1700SD,N,N
35,73,1,8,PCLDEND0,RDDEND1,SDIASTR2,T10_950SD,T20_1800SD,T20_1900SD,T5_50MN,T5_50SD,N,N
36,74,1,8,BLDADEND8,PCLDEN,PCLDEND0,RDDEND1,SDENSTR,SDIASTRD8,T10_850SD,T20_1100SD,N,N
37,75,2,8,BLDADEN,SDIASTRD7,SLOPSAND6,SPDIASTR2,T10_850SD,T20_1300SD,T5_50MN,T5_50SD,N,N
38,76,1,8,BLDADEND5,RDDEND1,SLOPSTR1,SPDIASTR2,T10_950SD,T20_1800SD,T5_50MN,T5_50SD,N,N
39,77,1,8,BLDADEN,SDENSAND10,SDENSTR,SPDIASTR2,T20_1100SD,T20_1800SD,T5_50MN,T5_50SD,N,N
40,78,1,8,BLDADEN,SDENSAND10,SDENSTR,SPDIASTR2,T20_1000SD,T20_1800SD,T5_50MN,T5_50SD,N,N
41,81,1,9,BLDADEND5,PCLDEND1,SDENSAND10,SDENSTR,SDIASTRD0,SPAGESTR3,SPDIASTR2,T20_1300SD,T20_1800SD,N
42,82,1,9,BLDADEND5,PCLDEND1,PCLDEND4,SAGESTR3,SDENSAND10,T20_1300SD,T20_2000SD,T5_50MN,T5_50SD,N
43,84,1,9,RDDEND1,SDENSTR,SDIASTRD8,SLOPSTRD0,T20_1100SD,T20_1600SD,T20_1700SD,T5_50MN,T5_50SD,N
44,85,1,9,BLDADEN,BLDADEND5,PCLDEND5,SDENSAND10,SDENSTR,SLOPSAND6,SPDIASTR2,T5_50MN,T5_50SD,N
45,86,1,9,BLDADEN,BLDADEND5,SDENSAND10,SDENSTR,SPDIASTR2,T20_1300SD,T20_1900SD,T5_50MN,T5_50SD,N
46,87,1,9,BLDADEND5,BLDADEND8,PCLDEN,PCLDEND0,SDENSAND10,SDENSTR,SPDIASTR2,T10_850SD,T20_1100SD,N
47,88,1,9,BLDADEN,PCLDEND5,PCLDEND6,RDDEND1,SDENSTR,SLOPSAND6,SPDIASTR2,T10_850SD,T20_1300SD,N
48,89,1,9,BLDADEN,BLDDEND7,PCLDEND4,SDENSAND10,SLOPSTR1,SPDIASTR2,T5_100MN,T5_50SD,T5_75MN,N
49,90,1,9,BLDADEN,BLDADEND5,PCLDEND5,SDENSAND10,SLOPSAND6,SLOPSTR1,SPDIASTR2,T5_50MN,T5_50SD,N
50,91,1,10,BLDADEN,BLDADEND5,SDENSAND10,SDENSTR,SLOPSAND1,SPAGESAN1,SPDIASTR2,T10_1000SD,T10_850SD,T20_1800SD
51,92,1,10,BLDADEND1,PCLDEND4,SAGESAND1,SDENSAN,SDENSAND10,SPAGESAN1,SPAGESTR3,SPDIASTR2,T10_850SD,T20_1300SD
52,93,1,10,BLDADEND8,PCLDEN,PCLDEND0,RDDEND1,SDENSTR,SPAGESTR3,SPDIASTR2,T10_650SD,T20_1200SD,T20_1300SD
53,94,1,10,BLDADEND5,PCLDEND1,SAGESTR3,SDENSAND10,T10_1000MN,T20_1000MN,T20_1300SD,T20_2000SD,T5_50MN,T5_50SD
54,95,1,10,RDDEND1,SDENSAND10,SDENSTR,SPAGESAN1,SPAGESTR3,SPDIASTR2,T10_400SD,T20_1300SD,T20_1600SD,T20_1700SD
55,96,1,10,BLDADEN,PCLDEND5,RDDEND1,SAGESTRD10,SDENSAND10,SDENSTR,SLOPSAND6,SPDIASTR2,T5_50MN,T5_50SD
56,97,1,10,BLDADEN,SDENSTR,SDIASTRD7,SLOPSAND6,SLOPSTRD0,SPDIASTR2,T10_650SD,T20_1300SD,T5_50SD,T5_75MN
57,98,1,10,BLDADEN,BLDADEND5,SLOPSAN4,SLOPSAND6,SPDIASTR2,T10_700SD,T10_850SD,T20_1300SD,T5_50MN,T5_50SD
58,99,1,10,BLDADEN,BLDADEND5,SDENSAND10,SDENSTR,SLOPSTRD0,SPDIASTR2,T20_1300SD,T20_1800SD,T5_50MN,T5_50SD
59,100,1,10,BLDADEND1,BLDADEND5,PCLDEND5,RDDEND1,SDENSAND10,SDENSTR,SLOPSAND6,SPDIASTR2,T5_50MN,T5_50SD
